time, m1_pwm, set_pwm, voltage
0, 0, 0, 0
50, 0, 0, 0
100, 0, 0, 0
150, 0, 0, 0
200, 0, 61184, 2.97174809625011
250, 0, 61184, 2.97174809625011
300, 0, 61184, 2.97174809625011
350, 0, 61184, 2.97174809625011
400, 0, 61184, 2.97174809625011
450, 0, 61184, 2.97174809625011
500, 0, 61184, 2.97174809625011
550, 0, 61184, 2.97174809625011
600, 0, 61184, 2.97174809625011
650, 0, 61184, 2.97174809625011
700, 0, 61184, 2.97174809625011
750, 0, 61184, 2.97174809625011
800, 0, 61184, 2.97174809625011
850, 0, 61184, 2.97174809625011
900, 0, 61184, 2.97174809625011
950, 0, 61184, 2.97174809625011
1000, 0, 61184, 2.97174809625011
1050, 50610, 61184, 2.97174809625011
1100, 50889, 61184, 2.97174809625011
1150, 50749, 61184, 2.97174809625011
1200, 50610, 61184, 2.97174809625011
1250, 50540, 61184, 2.97174809625011
1300, 50540, 61184, 2.97174809625011
1350, 50540, 61184, 2.97174809625011
1400, 50540, 61184, 2.97174809625011
1450, 50540, 61184, 2.97174809625011
1500, 50540, 61184, 2.97174809625011
1550, 50540, 61184, 2.97174809625011
1600, 50540, 61184, 2.97174809625011
1650, 50540, 61184, 2.97174809625011
1700, 50540, 61184, 2.97174809625011
1750, 50540, 61184, 2.97174809625011
1800, 50540, 61184, 2.97174809625011
1850, 50540, 61184, 2.97174809625011
1900, 50610, 61184, 2.97174809625011
1950, 0, 0, 0
2000, 0, 0, 0
2050, 346, 256, 0.0205910418208229
2100, 346, 256, 0.0205910418208229
2150, 692, 512, 0.0411135378486382
2200, 692, 512, 0.0411135378486382
2250, 1037, 768, 0.0615674880834461
2300, 1037, 768, 0.0615674880834461
2350, 1380, 1024, 0.0819528925252464
2400, 1380, 1024, 0.0819528925252464
2450, 1722, 1280, 0.102269751174039
2500, 1722, 1280, 0.102269751174039
2550, 2063, 1536, 0.122518064029825
2600, 2063, 1536, 0.122518064029825
2650, 2403, 1792, 0.142697831092602
2700, 2403, 1792, 0.142697831092602
2750, 2742, 2048, 0.162809052362373
2800, 2742, 2048, 0.162809052362373
2850, 3080, 2304, 0.182851727839135
2900, 3080, 2304, 0.182851727839135
2950, 3080, 2304, 0.182851727839135
3000, 3416, 2560, 0.202825857522891
3050, 3751, 2816, 0.222731441413639
3100, 3751, 2816, 0.222731441413639
