time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 48185, 44212, 42128, 45500, 3.29912042617798, 1.88950648529828, 1.57957064759335, 1.42727778682397, 1.6772521700025, 6.57360708971811
50, 39879, 44188, 42873, 39713, 3.3730206489563, 1.27100782861391, 1.57777617643891, 1.4808984004341, 1.25980907475152, 5.58949148023844
100, 59767, 60697, 62434, 60239, 3.17243385314941, 2.9341251769407, 3.02677826713365, 3.20320610031878, 2.98099074144999, 12.1451002858431
150, 55826, 55108, 61648, 56779, 3.22522020339966, 2.55570882471368, 2.48927616852704, 3.12282954263324, 2.64508807433614, 10.8129026102101
200, 37665, 44329, 47991, 23478, 3.44692087173462, 1.1254780886177, 1.5883321835905, 1.87378294402668, 0.396283845757241, 4.98387706199212
250, 58579, 38340, 47172, 46530, 3.38357782363892, 2.81761907701299, 1.16896646227368, 1.80806641893671, 1.75730440028531, 7.55195635850868
300, 24280, 27527, 37418, 40171, 3.5736072063446, 0.427827586516138, 0.567625773486913, 1.10975857361893, 1.29081926856523, 3.39603120218721
350, 42144, 53529, 54865, 42367, 3.40469217300415, 1.42841971765351, 2.34594138973185, 2.4669699428466, 1.4443795336053, 7.68571058383725
400, 44709, 33430, 20332, 35648, 3.54721426963806, 1.61694270521059, 0.870490315532839, 0.284126979553253, 1.00017108776009, 3.77173108805677
450, 50068, 51405, 57458, 54163, 3.32551336288452, 2.04522626312923, 2.15918403557956, 2.70960233529304, 2.40303522158909, 9.31704785559091
500, 28754, 41573, 43896, 33192, 3.50498533248901, 0.62545027848386, 1.3879300539771, 1.55601896305586, 0.857084590976944, 4.42648388649377
550, 53224, 53073, 52735, 51646, 3.35718488693237, 2.31869497523752, 2.30525875955121, 2.27531042868002, 2.18002262154394, 9.0792867850127
600, 30452, 35454, 43716, 37283, 3.51026391983032, 0.709937683635224, 0.988487707436647, 1.54267659150442, 1.10121096542406, 4.34231294800035
650, 54274, 49982, 50225, 52519, 3.37829923629761, 2.4130944745433, 2.03799214561228, 2.05846274135197, 2.25626426401481, 8.76581362552235
700, 38596, 38888, 34009, 34662, 3.51554250717163, 1.18566237308509, 1.20484178392234, 0.903517121837532, 0.941466480096737, 4.2354877589417
750, 46020, 51971, 55323, 49917, 3.37829923629761, 1.71745254431044, 2.20826758740618, 2.50908695858438, 2.03253222405322, 8.46733931435422
800, 36878, 38703, 36321, 36467, 3.51554250717163, 1.07575516827525, 1.19267367837483, 1.04120486634456, 1.05020962000009, 4.35984333299473
850, 50985, 48086, 48760, 52763, 3.39941358566284, 2.12308433952573, 1.88147511845741, 1.93646174648567, 2.27778465589739, 8.21880586036619
900, 38020, 39983, 37049, 37567, 3.49970674514771, 1.14825309633649, 1.27804753059734, 1.0864689262378, 1.11922873645089, 4.63199828962252
950, 47306, 51868, 51622, 48923, 3.39413499832153, 1.8187451046627, 2.19929833180963, 2.17794335390245, 1.94986810028344, 8.14585489065822
1000, 37076, 34522, 41023, 41116, 3.49970674514771, 1.08816514947441, 0.93326783669315, 1.34944237235054, 1.35591485797334, 4.72679021649144
