Wed Feb 21 12:53:39 2018
###Command: takeoff###
[122000][PWM]: {'pwm.m3_pwm': 42128.0, 'pwm.m1_pwm': 48185.0, 'pwm.m4_pwm': 45500.0, 'pwm.m2_pwm': 44212.0, 'pm.vbat': 3.2991204261779785}
[122050][PWM]: {'pwm.m3_pwm': 42873.0, 'pwm.m1_pwm': 39879.0, 'pwm.m4_pwm': 39713.0, 'pwm.m2_pwm': 44188.0, 'pm.vbat': 3.373020648956299}
[122100][PWM]: {'pwm.m3_pwm': 62434.0, 'pwm.m1_pwm': 59767.0, 'pwm.m4_pwm': 60239.0, 'pwm.m2_pwm': 60697.0, 'pm.vbat': 3.172433853149414}
[122150][PWM]: {'pwm.m3_pwm': 61648.0, 'pwm.m1_pwm': 55826.0, 'pwm.m4_pwm': 56779.0, 'pwm.m2_pwm': 55108.0, 'pm.vbat': 3.225220203399658}
[122200][PWM]: {'pwm.m3_pwm': 47991.0, 'pwm.m1_pwm': 37665.0, 'pwm.m4_pwm': 23478.0, 'pwm.m2_pwm': 44329.0, 'pm.vbat': 3.446920871734619}
[122250][PWM]: {'pwm.m3_pwm': 47172.0, 'pwm.m1_pwm': 58579.0, 'pwm.m4_pwm': 46530.0, 'pwm.m2_pwm': 38340.0, 'pm.vbat': 3.383577823638916}
[122300][PWM]: {'pwm.m3_pwm': 37418.0, 'pwm.m1_pwm': 24280.0, 'pwm.m4_pwm': 40171.0, 'pwm.m2_pwm': 27527.0, 'pm.vbat': 3.5736072063446045}
[122350][PWM]: {'pwm.m3_pwm': 54865.0, 'pwm.m1_pwm': 42144.0, 'pwm.m4_pwm': 42367.0, 'pwm.m2_pwm': 53529.0, 'pm.vbat': 3.4046921730041504}
[122400][PWM]: {'pwm.m3_pwm': 20332.0, 'pwm.m1_pwm': 44709.0, 'pwm.m4_pwm': 35648.0, 'pwm.m2_pwm': 33430.0, 'pm.vbat': 3.5472142696380615}
[122450][PWM]: {'pwm.m3_pwm': 57458.0, 'pwm.m1_pwm': 50068.0, 'pwm.m4_pwm': 54163.0, 'pwm.m2_pwm': 51405.0, 'pm.vbat': 3.3255133628845215}
[122500][PWM]: {'pwm.m3_pwm': 43896.0, 'pwm.m1_pwm': 28754.0, 'pwm.m4_pwm': 33192.0, 'pwm.m2_pwm': 41573.0, 'pm.vbat': 3.5049853324890137}
[122550][PWM]: {'pwm.m3_pwm': 52735.0, 'pwm.m1_pwm': 53224.0, 'pwm.m4_pwm': 51646.0, 'pwm.m2_pwm': 53073.0, 'pm.vbat': 3.357184886932373}
[122600][PWM]: {'pwm.m3_pwm': 43716.0, 'pwm.m1_pwm': 30452.0, 'pwm.m4_pwm': 37283.0, 'pwm.m2_pwm': 35454.0, 'pm.vbat': 3.5102639198303223}
[122650][PWM]: {'pwm.m3_pwm': 50225.0, 'pwm.m1_pwm': 54274.0, 'pwm.m4_pwm': 52519.0, 'pwm.m2_pwm': 49982.0, 'pm.vbat': 3.3782992362976074}
[122700][PWM]: {'pwm.m3_pwm': 34009.0, 'pwm.m1_pwm': 38596.0, 'pwm.m4_pwm': 34662.0, 'pwm.m2_pwm': 38888.0, 'pm.vbat': 3.515542507171631}
[122750][PWM]: {'pwm.m3_pwm': 55323.0, 'pwm.m1_pwm': 46020.0, 'pwm.m4_pwm': 49917.0, 'pwm.m2_pwm': 51971.0, 'pm.vbat': 3.3782992362976074}
[122800][PWM]: {'pwm.m3_pwm': 36321.0, 'pwm.m1_pwm': 36878.0, 'pwm.m4_pwm': 36467.0, 'pwm.m2_pwm': 38703.0, 'pm.vbat': 3.515542507171631}
[122850][PWM]: {'pwm.m3_pwm': 48760.0, 'pwm.m1_pwm': 50985.0, 'pwm.m4_pwm': 52763.0, 'pwm.m2_pwm': 48086.0, 'pm.vbat': 3.399413585662842}
[122900][PWM]: {'pwm.m3_pwm': 37049.0, 'pwm.m1_pwm': 38020.0, 'pwm.m4_pwm': 37567.0, 'pwm.m2_pwm': 39983.0, 'pm.vbat': 3.499706745147705}
[122950][PWM]: {'pwm.m3_pwm': 51622.0, 'pwm.m1_pwm': 47306.0, 'pwm.m4_pwm': 48923.0, 'pwm.m2_pwm': 51868.0, 'pm.vbat': 3.394134998321533}
[123000][PWM]: {'pwm.m3_pwm': 41023.0, 'pwm.m1_pwm': 37076.0, 'pwm.m4_pwm': 41116.0, 'pwm.m2_pwm': 34522.0, 'pm.vbat': 3.499706745147705}
[123050][PWM]: {'pwm.m3_pwm': 49112.0, 'pwm.m1_pwm': 48465.0, 'pwm.m4_pwm': 47619.0, 'pwm.m2_pwm': 51012.0, 'pm.vbat': 3.399413585662842}
[123100][PWM]: {'pwm.m3_pwm': 40480.0, 'pwm.m1_pwm': 36942.0, 'pwm.m4_pwm': 37422.0, 'pwm.m2_pwm': 40586.0, 'pm.vbat': 3.5049853324890137}
[123150][PWM]: {'pwm.m3_pwm': 49441.0, 'pwm.m1_pwm': 48728.0, 'pwm.m4_pwm': 49320.0, 'pwm.m2_pwm': 48526.0, 'pm.vbat': 3.409970760345459}
[123200][PWM]: {'pwm.m3_pwm': 38703.0, 'pwm.m1_pwm': 42395.0, 'pwm.m4_pwm': 40965.0, 'pwm.m2_pwm': 39830.0, 'pm.vbat': 3.4838709831237793}
[123250][PWM]: {'pwm.m3_pwm': 51447.0, 'pwm.m1_pwm': 48747.0, 'pwm.m4_pwm': 49116.0, 'pwm.m2_pwm': 50262.0, 'pm.vbat': 3.399413585662842}
[123300][PWM]: {'pwm.m3_pwm': 40088.0, 'pwm.m1_pwm': 44269.0, 'pwm.m4_pwm': 41568.0, 'pwm.m2_pwm': 40783.0, 'pm.vbat': 3.473313808441162}
[123350][PWM]: {'pwm.m3_pwm': 52988.0, 'pwm.m1_pwm': 48714.0, 'pwm.m4_pwm': 51771.0, 'pwm.m2_pwm': 50687.0, 'pm.vbat': 3.3782992362976074}
[123400][PWM]: {'pwm.m3_pwm': 43756.0, 'pwm.m1_pwm': 41809.0, 'pwm.m4_pwm': 41995.0, 'pwm.m2_pwm': 43667.0, 'pm.vbat': 3.4574780464172363}
[123450][PWM]: {'pwm.m3_pwm': 48183.0, 'pwm.m1_pwm': 53002.0, 'pwm.m4_pwm': 49038.0, 'pwm.m2_pwm': 52046.0, 'pm.vbat': 3.3888564109802246}
[123500][PWM]: {'pwm.m3_pwm': 39818.0, 'pwm.m1_pwm': 43667.0, 'pwm.m4_pwm': 44729.0, 'pwm.m2_pwm': 40571.0, 'pm.vbat': 3.4680352210998535}
