Wed Feb 21 12:55:43 2018
###Command: takeoff###
[246144][PWM]: {'pwm.m4_pwm': 42356.0, 'pwm.m3_pwm': 39847.0, 'pm.vbat': 3.2991204261779785, 'pwm.m1_pwm': 41790.0, 'pwm.m2_pwm': 39843.0}
[246194][PWM]: {'pwm.m4_pwm': 50444.0, 'pwm.m3_pwm': 48754.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 50622.0, 'pwm.m2_pwm': 48942.0}
[246244][PWM]: {'pwm.m4_pwm': 52698.0, 'pwm.m3_pwm': 52434.0, 'pm.vbat': 3.278006076812744, 'pwm.m1_pwm': 52012.0, 'pwm.m2_pwm': 51671.0}
[246294][PWM]: {'pwm.m4_pwm': 50043.0, 'pwm.m3_pwm': 53020.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 50349.0, 'pwm.m2_pwm': 52201.0}
[246344][PWM]: {'pwm.m4_pwm': 52200.0, 'pwm.m3_pwm': 61247.0, 'pm.vbat': 3.2463345527648926, 'pwm.m1_pwm': 48681.0, 'pwm.m2_pwm': 56108.0}
[246394][PWM]: {'pwm.m4_pwm': 51018.0, 'pwm.m3_pwm': 57814.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 53323.0, 'pwm.m2_pwm': 54222.0}
[246444][PWM]: {'pwm.m4_pwm': 38940.0, 'pwm.m3_pwm': 0.0, 'pm.vbat': 3.473313808441162, 'pwm.m1_pwm': 55546.0, 'pwm.m2_pwm': 38940.0}
[246494][PWM]: {'pwm.m4_pwm': 33533.0, 'pwm.m3_pwm': 36695.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 34910.0, 'pwm.m2_pwm': 38016.0}
[246544][PWM]: {'pwm.m4_pwm': 44092.0, 'pwm.m3_pwm': 49701.0, 'pm.vbat': 3.5102639198303223, 'pwm.m1_pwm': 13800.0, 'pwm.m2_pwm': 19038.0}
[246594][PWM]: {'pwm.m4_pwm': 52103.0, 'pwm.m3_pwm': 49028.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 56746.0, 'pwm.m2_pwm': 55436.0}
[246644][PWM]: {'pwm.m4_pwm': 31455.0, 'pwm.m3_pwm': 36544.0, 'pm.vbat': 3.4838709831237793, 'pwm.m1_pwm': 39915.0, 'pwm.m2_pwm': 41247.0}
[246694][PWM]: {'pwm.m4_pwm': 54690.0, 'pwm.m3_pwm': 58746.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 48435.0, 'pwm.m2_pwm': 51545.0}
[246744][PWM]: {'pwm.m4_pwm': 33293.0, 'pwm.m3_pwm': 31539.0, 'pm.vbat': 3.489149570465088, 'pwm.m1_pwm': 44181.0, 'pwm.m2_pwm': 38876.0}
[246794][PWM]: {'pwm.m4_pwm': 51624.0, 'pwm.m3_pwm': 53700.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 53310.0, 'pwm.m2_pwm': 53510.0}
[246844][PWM]: {'pwm.m4_pwm': 40000.0, 'pwm.m3_pwm': 43767.0, 'pm.vbat': 3.4785923957824707, 'pwm.m1_pwm': 30227.0, 'pwm.m2_pwm': 34456.0}
[246894][PWM]: {'pwm.m4_pwm': 50238.0, 'pwm.m3_pwm': 48884.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 52488.0, 'pwm.m2_pwm': 53406.0}
