Wed Feb 21 13:02:54 2018
###Command: takeoff###
[64134][PWM]: {'pwm.m4_pwm': 46345.0, 'pwm.m2_pwm': 36084.0, 'pwm.m3_pwm': 39033.0, 'pm.vbat': 3.2041053771972656, 'pwm.m1_pwm': 44020.0}
[64184][PWM]: {'pwm.m4_pwm': 48171.0, 'pwm.m2_pwm': 43667.0, 'pwm.m3_pwm': 43928.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 47523.0}
[64234][PWM]: {'pwm.m4_pwm': 46422.0, 'pwm.m2_pwm': 45364.0, 'pwm.m3_pwm': 43947.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 46452.0}
[64284][PWM]: {'pwm.m4_pwm': 46045.0, 'pwm.m2_pwm': 47220.0, 'pwm.m3_pwm': 46162.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 45845.0}
[64334][PWM]: {'pwm.m4_pwm': 49669.0, 'pwm.m2_pwm': 50688.0, 'pwm.m3_pwm': 48963.0, 'pm.vbat': 3.3096776008605957, 'pwm.m1_pwm': 49778.0}
[64384][PWM]: {'pwm.m4_pwm': 48820.0, 'pwm.m2_pwm': 52884.0, 'pwm.m3_pwm': 47426.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 49460.0}
[64434][PWM]: {'pwm.m4_pwm': 49861.0, 'pwm.m2_pwm': 57407.0, 'pwm.m3_pwm': 53736.0, 'pm.vbat': 3.2832846641540527, 'pwm.m1_pwm': 52483.0}
[64484][PWM]: {'pwm.m4_pwm': 51291.0, 'pwm.m2_pwm': 54235.0, 'pwm.m3_pwm': 47038.0, 'pm.vbat': 3.2832846641540527, 'pwm.m1_pwm': 45598.0}
[64534][PWM]: {'pwm.m4_pwm': 45706.0, 'pwm.m2_pwm': 52055.0, 'pwm.m3_pwm': 45469.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 42911.0}
[64584][PWM]: {'pwm.m4_pwm': 49235.0, 'pwm.m2_pwm': 41177.0, 'pwm.m3_pwm': 42894.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 42618.0}
[64634][PWM]: {'pwm.m4_pwm': 47434.0, 'pwm.m2_pwm': 50516.0, 'pwm.m3_pwm': 41896.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49884.0}
[64684][PWM]: {'pwm.m4_pwm': 45363.0, 'pwm.m2_pwm': 50420.0, 'pwm.m3_pwm': 51883.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 42951.0}
[64734][PWM]: {'pwm.m4_pwm': 32382.0, 'pwm.m2_pwm': 22976.0, 'pwm.m3_pwm': 23586.0, 'pm.vbat': 3.5102639198303223, 'pwm.m1_pwm': 31447.0}
[64784][PWM]: {'pwm.m4_pwm': 48090.0, 'pwm.m2_pwm': 46821.0, 'pwm.m3_pwm': 46582.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 46682.0}
[64834][PWM]: {'pwm.m4_pwm': 31432.0, 'pwm.m2_pwm': 35927.0, 'pwm.m3_pwm': 35309.0, 'pm.vbat': 3.4785923957824707, 'pwm.m1_pwm': 28993.0}
[64884][PWM]: {'pwm.m4_pwm': 50742.0, 'pwm.m2_pwm': 50638.0, 'pwm.m3_pwm': 47226.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49245.0}
[64934][PWM]: {'pwm.m4_pwm': 42612.0, 'pwm.m2_pwm': 33913.0, 'pwm.m3_pwm': 36148.0, 'pm.vbat': 3.4416422843933105, 'pwm.m1_pwm': 36308.0}
[64984][PWM]: {'pwm.m4_pwm': 49901.0, 'pwm.m2_pwm': 53646.0, 'pwm.m3_pwm': 49628.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 49485.0}
[65034][PWM]: {'pwm.m4_pwm': 39302.0, 'pwm.m2_pwm': 40140.0, 'pwm.m3_pwm': 34400.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 41059.0}
[65084][PWM]: {'pwm.m4_pwm': 52435.0, 'pwm.m2_pwm': 50602.0, 'pwm.m3_pwm': 51303.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 49590.0}
[65134][PWM]: {'pwm.m4_pwm': 39516.0, 'pwm.m2_pwm': 40670.0, 'pwm.m3_pwm': 41598.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 37553.0}
[65184][PWM]: {'pwm.m4_pwm': 51471.0, 'pwm.m2_pwm': 49842.0, 'pwm.m3_pwm': 48239.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 51842.0}
[65234][PWM]: {'pwm.m4_pwm': 40495.0, 'pwm.m2_pwm': 40562.0, 'pwm.m3_pwm': 40642.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 40607.0}
[65284][PWM]: {'pwm.m4_pwm': 50632.0, 'pwm.m2_pwm': 50727.0, 'pwm.m3_pwm': 50260.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 50228.0}
[65334][PWM]: {'pwm.m4_pwm': 42669.0, 'pwm.m2_pwm': 38165.0, 'pwm.m3_pwm': 39041.0, 'pm.vbat': 3.420527935028076, 'pwm.m1_pwm': 41726.0}
[65384][PWM]: {'pwm.m4_pwm': 50620.0, 'pwm.m2_pwm': 49337.0, 'pwm.m3_pwm': 50806.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49373.0}
[65434][PWM]: {'pwm.m4_pwm': 40856.0, 'pwm.m2_pwm': 43696.0, 'pwm.m3_pwm': 37504.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 44081.0}
[65484][PWM]: {'pwm.m4_pwm': 52549.0, 'pwm.m2_pwm': 49600.0, 'pwm.m3_pwm': 48189.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 51162.0}
[65534][PWM]: {'pwm.m4_pwm': 45547.0, 'pwm.m2_pwm': 43502.0, 'pwm.m3_pwm': 41864.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 39976.0}
[65584][PWM]: {'pwm.m4_pwm': 53641.0, 'pwm.m2_pwm': 50636.0, 'pwm.m3_pwm': 47275.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 50616.0}
[65634][PWM]: {'pwm.m4_pwm': 40980.0, 'pwm.m2_pwm': 45901.0, 'pwm.m3_pwm': 42360.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 40413.0}
[65684][PWM]: {'pwm.m4_pwm': 57554.0, 'pwm.m2_pwm': 39157.0, 'pwm.m3_pwm': 50274.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 48122.0}
[65734][PWM]: {'pwm.m4_pwm': 32309.0, 'pwm.m2_pwm': 52441.0, 'pwm.m3_pwm': 37786.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46152.0}
[65784][PWM]: {'pwm.m4_pwm': 51228.0, 'pwm.m2_pwm': 50847.0, 'pwm.m3_pwm': 51725.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 48676.0}
[65834][PWM]: {'pwm.m4_pwm': 46778.0, 'pwm.m2_pwm': 41277.0, 'pwm.m3_pwm': 38351.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 46754.0}
[65884][PWM]: {'pwm.m4_pwm': 48367.0, 'pwm.m2_pwm': 52893.0, 'pwm.m3_pwm': 49587.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49746.0}
[65934][PWM]: {'pwm.m4_pwm': 44098.0, 'pwm.m2_pwm': 41741.0, 'pwm.m3_pwm': 42041.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 43244.0}
[65984][PWM]: {'pwm.m4_pwm': 53604.0, 'pwm.m2_pwm': 45642.0, 'pwm.m3_pwm': 47657.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 51386.0}
[66034][PWM]: {'pwm.m4_pwm': 34544.0, 'pwm.m2_pwm': 47850.0, 'pwm.m3_pwm': 43300.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 42628.0}
[66084][PWM]: {'pwm.m4_pwm': 53923.0, 'pwm.m2_pwm': 41829.0, 'pwm.m3_pwm': 49205.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49321.0}
[66134][PWM]: {'pwm.m4_pwm': 37621.0, 'pwm.m2_pwm': 46092.0, 'pwm.m3_pwm': 39568.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 45821.0}
[66184][PWM]: {'pwm.m4_pwm': 48997.0, 'pwm.m2_pwm': 47303.0, 'pwm.m3_pwm': 49470.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 48412.0}
[66234][PWM]: {'pwm.m4_pwm': 41641.0, 'pwm.m2_pwm': 43132.0, 'pwm.m3_pwm': 39180.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 46019.0}
[66284][PWM]: {'pwm.m4_pwm': 52102.0, 'pwm.m2_pwm': 45495.0, 'pwm.m3_pwm': 49009.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 48940.0}
[66334][PWM]: {'pwm.m4_pwm': 36496.0, 'pwm.m2_pwm': 49186.0, 'pwm.m3_pwm': 40758.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 46460.0}
[66384][PWM]: {'pwm.m4_pwm': 52074.0, 'pwm.m2_pwm': 45057.0, 'pwm.m3_pwm': 49253.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 48883.0}
[66434][PWM]: {'pwm.m4_pwm': 40957.0, 'pwm.m2_pwm': 46356.0, 'pwm.m3_pwm': 40515.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 45952.0}
[66484][PWM]: {'pwm.m4_pwm': 50086.0, 'pwm.m2_pwm': 46091.0, 'pwm.m3_pwm': 47620.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 48538.0}
[66534][PWM]: {'pwm.m4_pwm': 42768.0, 'pwm.m2_pwm': 45409.0, 'pwm.m3_pwm': 40008.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 46347.0}
[66584][PWM]: {'pwm.m4_pwm': 50303.0, 'pwm.m2_pwm': 48366.0, 'pwm.m3_pwm': 48536.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 48578.0}
[66634][PWM]: {'pwm.m4_pwm': 43824.0, 'pwm.m2_pwm': 46622.0, 'pwm.m3_pwm': 41371.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 45785.0}
[66684][PWM]: {'pwm.m4_pwm': 49810.0, 'pwm.m2_pwm': 49276.0, 'pwm.m3_pwm': 47210.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49016.0}
[66734][PWM]: {'pwm.m4_pwm': 45552.0, 'pwm.m2_pwm': 46049.0, 'pwm.m3_pwm': 43227.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 45037.0}
