time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 42215, 43770, 46258, 45895, 3.35718488693237, 1.43349215483953, 1.54667372328305, 1.73599784222437, 1.70774903059536, 6.42391275094231
50, 40941, 41574, 43291, 42435, 3.46803522109985, 1.34374742867062, 1.38800049048008, 1.51138484607352, 1.44926258695, 5.69239535217422
100, 41505, 44469, 44855, 42934, 3.4944281578064, 1.38314427549331, 1.59884547469254, 1.62799780412266, 1.48532943269562, 6.09531698700413
150, 46211, 45985, 47840, 47840, 3.51026391983032, 1.73232828695757, 1.71473301369239, 1.86158607140533, 1.86158607140533, 7.17023344346062
200, 47420, 42610, 39235, 45562, 3.51026391983032, 1.82785261418791, 1.46186444078389, 1.22782135507612, 1.68202229217116, 6.19956070221907
250, 41842, 45754, 44110, 41740, 3.53137826919556, 1.4069374103517, 1.69683380612379, 1.5719506536677, 1.39971600297704, 6.07543787312022
300, 39588, 47992, 46384, 31666, 3.52609968185425, 1.25140689495393, 1.87386383931312, 1.74585296022842, 0.773495709590443, 5.64461940408591
350, 36080, 26371, 40610, 37946, 3.55777144432068, 1.02642106345657, 0.515644381332162, 1.32087354227767, 1.14348792303561, 4.00642691010202
400, 46344, 45204, 40687, 43288, 3.55777144432068, 1.74272157672022, 1.65456466580682, 1.3261783019657, 1.51116501859648, 6.23462956308922
450, 45135, 50642, 43896, 45497, 3.48914957046509, 1.64929647877075, 2.09380749013823, 1.55601896305586, 1.67702151576091, 6.97614444772576
500, 43243, 46013, 49121, 50757, 3.4944281578064, 1.50786938374569, 1.71690847976167, 1.96620978038414, 2.10360281801525, 7.29459046190674
550, 46882, 46134, 42613, 45890, 3.48914957046509, 1.78505448922602, 1.72632417003475, 1.46208091400239, 1.70736141568184, 6.68082098894501
600, 40222, 50243, 47479, 38832, 3.52082109451294, 1.29429417577437, 2.05998277555604, 1.83257432426372, 1.20115234973621, 6.38800362533035
650, 46880, 43809, 39160, 45099, 3.54193544387817, 1.78489625528485, 1.54956351559517, 1.22283734969806, 1.6465509320847, 6.20384805266277
