Wed Feb 21 06:23:35 2018
###Command: takeoff###
[152523][PWM]: {'pwm.m4_pwm': 45895.0, 'pm.vbat': 3.357184886932373, 'pwm.m2_pwm': 43770.0, 'pwm.m3_pwm': 46258.0, 'pwm.m1_pwm': 42215.0}
[152573][PWM]: {'pwm.m4_pwm': 42435.0, 'pm.vbat': 3.4680352210998535, 'pwm.m2_pwm': 41574.0, 'pwm.m3_pwm': 43291.0, 'pwm.m1_pwm': 40941.0}
[152623][PWM]: {'pwm.m4_pwm': 42934.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 44469.0, 'pwm.m3_pwm': 44855.0, 'pwm.m1_pwm': 41505.0}
[152673][PWM]: {'pwm.m4_pwm': 47840.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 45985.0, 'pwm.m3_pwm': 47840.0, 'pwm.m1_pwm': 46211.0}
[152723][PWM]: {'pwm.m4_pwm': 45562.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 42610.0, 'pwm.m3_pwm': 39235.0, 'pwm.m1_pwm': 47420.0}
[152773][PWM]: {'pwm.m4_pwm': 41740.0, 'pm.vbat': 3.5313782691955566, 'pwm.m2_pwm': 45754.0, 'pwm.m3_pwm': 44110.0, 'pwm.m1_pwm': 41842.0}
[152823][PWM]: {'pwm.m4_pwm': 31666.0, 'pm.vbat': 3.526099681854248, 'pwm.m2_pwm': 47992.0, 'pwm.m3_pwm': 46384.0, 'pwm.m1_pwm': 39588.0}
[152873][PWM]: {'pwm.m4_pwm': 37946.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 26371.0, 'pwm.m3_pwm': 40610.0, 'pwm.m1_pwm': 36080.0}
[152923][PWM]: {'pwm.m4_pwm': 43288.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 45204.0, 'pwm.m3_pwm': 40687.0, 'pwm.m1_pwm': 46344.0}
[152973][PWM]: {'pwm.m4_pwm': 45497.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 50642.0, 'pwm.m3_pwm': 43896.0, 'pwm.m1_pwm': 45135.0}
[153023][PWM]: {'pwm.m4_pwm': 50757.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 46013.0, 'pwm.m3_pwm': 49121.0, 'pwm.m1_pwm': 43243.0}
[153073][PWM]: {'pwm.m4_pwm': 45890.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46134.0, 'pwm.m3_pwm': 42613.0, 'pwm.m1_pwm': 46882.0}
[153123][PWM]: {'pwm.m4_pwm': 38832.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 50243.0, 'pwm.m3_pwm': 47479.0, 'pwm.m1_pwm': 40222.0}
[153173][PWM]: {'pwm.m4_pwm': 45099.0, 'pm.vbat': 3.541935443878174, 'pwm.m2_pwm': 43809.0, 'pwm.m3_pwm': 39160.0, 'pwm.m1_pwm': 46880.0}
[153223][PWM]: {'pwm.m4_pwm': 46287.0, 'pm.vbat': 3.526099681854248, 'pwm.m2_pwm': 45724.0, 'pwm.m3_pwm': 45724.0, 'pwm.m1_pwm': 45025.0}
[153273][PWM]: {'pwm.m4_pwm': 44867.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 49894.0, 'pwm.m3_pwm': 46796.0, 'pwm.m1_pwm': 43829.0}
[153323][PWM]: {'pwm.m4_pwm': 50815.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48777.0, 'pwm.m3_pwm': 45164.0, 'pwm.m1_pwm': 49975.0}
