Wed Feb 21 06:24:45 2018
###Command: takeoff###
[222386][PWM]: {'pwm.m1_pwm': 45897.0, 'pwm.m4_pwm': 44331.0, 'pwm.m2_pwm': 45889.0, 'pm.vbat': 3.320234775543213, 'pwm.m3_pwm': 44121.0}
[222436][PWM]: {'pwm.m1_pwm': 43514.0, 'pwm.m4_pwm': 41146.0, 'pwm.m2_pwm': 43372.0, 'pm.vbat': 3.409970760345459, 'pwm.m3_pwm': 40907.0}
[222486][PWM]: {'pwm.m1_pwm': 43719.0, 'pwm.m4_pwm': 43824.0, 'pwm.m2_pwm': 44140.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 43829.0}
[222536][PWM]: {'pwm.m1_pwm': 41887.0, 'pwm.m4_pwm': 39643.0, 'pwm.m2_pwm': 42098.0, 'pm.vbat': 3.4944281578063965, 'pwm.m3_pwm': 41231.0}
[222586][PWM]: {'pwm.m1_pwm': 44311.0, 'pwm.m4_pwm': 37371.0, 'pwm.m2_pwm': 43500.0, 'pm.vbat': 3.515542507171631, 'pwm.m3_pwm': 37153.0}
[222636][PWM]: {'pwm.m1_pwm': 42098.0, 'pwm.m4_pwm': 39846.0, 'pwm.m2_pwm': 38525.0, 'pm.vbat': 3.541935443878174, 'pwm.m3_pwm': 37810.0}
[222686][PWM]: {'pwm.m1_pwm': 48447.0, 'pwm.m4_pwm': 45843.0, 'pwm.m2_pwm': 45642.0, 'pm.vbat': 3.4785923957824707, 'pwm.m3_pwm': 43911.0}
[222736][PWM]: {'pwm.m1_pwm': 43481.0, 'pwm.m4_pwm': 43033.0, 'pwm.m2_pwm': 48644.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 48823.0}
[222786][PWM]: {'pwm.m1_pwm': 49930.0, 'pwm.m4_pwm': 48160.0, 'pwm.m2_pwm': 48754.0, 'pm.vbat': 3.436363697052002, 'pwm.m3_pwm': 47581.0}
[222836][PWM]: {'pwm.m1_pwm': 43274.0, 'pwm.m4_pwm': 45269.0, 'pwm.m2_pwm': 44540.0, 'pm.vbat': 3.4944281578063965, 'pwm.m3_pwm': 46791.0}
[222886][PWM]: {'pwm.m1_pwm': 47895.0, 'pwm.m4_pwm': 49216.0, 'pwm.m2_pwm': 43254.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 43354.0}
