Wed Feb 21 06:08:40 2018
###Command: takeoff###
[196018][PWM]: {'pwm.m2_pwm': 39644.0, 'pwm.m3_pwm': 39808.0, 'pwm.m1_pwm': 39914.0, 'pm.vbat': 3.4785923957824707, 'pwm.m4_pwm': 40357.0}
[196068][PWM]: {'pwm.m2_pwm': 38476.0, 'pwm.m3_pwm': 38161.0, 'pwm.m1_pwm': 38908.0, 'pm.vbat': 3.5577714443206787, 'pwm.m4_pwm': 38664.0}
[196118][PWM]: {'pwm.m2_pwm': 41884.0, 'pwm.m3_pwm': 40358.0, 'pwm.m1_pwm': 41926.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 40377.0}
[196168][PWM]: {'pwm.m2_pwm': 41631.0, 'pwm.m3_pwm': 38398.0, 'pwm.m1_pwm': 43324.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 39763.0}
[196218][PWM]: {'pwm.m2_pwm': 45489.0, 'pwm.m3_pwm': 40483.0, 'pwm.m1_pwm': 44202.0, 'pm.vbat': 3.605278730392456, 'pwm.m4_pwm': 39154.0}
[196268][PWM]: {'pwm.m2_pwm': 43861.0, 'pwm.m3_pwm': 43399.0, 'pwm.m1_pwm': 39759.0, 'pm.vbat': 3.6000001430511475, 'pwm.m4_pwm': 38514.0}
[196318][PWM]: {'pwm.m2_pwm': 44319.0, 'pwm.m3_pwm': 44351.0, 'pwm.m1_pwm': 40674.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 40247.0}
[196368][PWM]: {'pwm.m2_pwm': 38593.0, 'pwm.m3_pwm': 36995.0, 'pwm.m1_pwm': 37655.0, 'pm.vbat': 3.631671667098999, 'pwm.m4_pwm': 37203.0}
[196418][PWM]: {'pwm.m2_pwm': 39977.0, 'pwm.m3_pwm': 46598.0, 'pwm.m1_pwm': 43954.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 48949.0}
[196468][PWM]: {'pwm.m2_pwm': 48225.0, 'pwm.m3_pwm': 36837.0, 'pwm.m1_pwm': 46746.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 33887.0}
[196518][PWM]: {'pwm.m2_pwm': 44179.0, 'pwm.m3_pwm': 47430.0, 'pwm.m1_pwm': 42135.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 46187.0}
[196568][PWM]: {'pwm.m2_pwm': 46249.0, 'pwm.m3_pwm': 45082.0, 'pwm.m1_pwm': 43505.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 44101.0}
[196618][PWM]: {'pwm.m2_pwm': 48305.0, 'pwm.m3_pwm': 43238.0, 'pwm.m1_pwm': 46526.0, 'pm.vbat': 3.5894429683685303, 'pwm.m4_pwm': 43685.0}
[196668][PWM]: {'pwm.m2_pwm': 40256.0, 'pwm.m3_pwm': 40979.0, 'pwm.m1_pwm': 37945.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 42478.0}
[196718][PWM]: {'pwm.m2_pwm': 42727.0, 'pwm.m3_pwm': 37393.0, 'pwm.m1_pwm': 42024.0, 'pm.vbat': 3.658064603805542, 'pwm.m4_pwm': 37719.0}
[196768][PWM]: {'pwm.m2_pwm': 45748.0, 'pwm.m3_pwm': 44174.0, 'pwm.m1_pwm': 43019.0, 'pm.vbat': 3.6263930797576904, 'pwm.m4_pwm': 41813.0}
[196818][PWM]: {'pwm.m2_pwm': 46149.0, 'pwm.m3_pwm': 46858.0, 'pwm.m1_pwm': 46387.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 47644.0}
[196868][PWM]: {'pwm.m2_pwm': 49832.0, 'pwm.m3_pwm': 46214.0, 'pwm.m1_pwm': 49239.0, 'pm.vbat': 3.55249285697937, 'pwm.m4_pwm': 46307.0}
[196918][PWM]: {'pwm.m2_pwm': 49581.0, 'pwm.m3_pwm': 49408.0, 'pwm.m1_pwm': 48013.0, 'pm.vbat': 3.541935443878174, 'pwm.m4_pwm': 48543.0}
[196968][PWM]: {'pwm.m2_pwm': 47867.0, 'pwm.m3_pwm': 47101.0, 'pwm.m1_pwm': 48486.0, 'pm.vbat': 3.55249285697937, 'pwm.m4_pwm': 48005.0}
[197018][PWM]: {'pwm.m2_pwm': 47880.0, 'pwm.m3_pwm': 46607.0, 'pwm.m1_pwm': 47347.0, 'pm.vbat': 3.5577714443206787, 'pwm.m4_pwm': 46142.0}
[197068][PWM]: {'pwm.m2_pwm': 45950.0, 'pwm.m3_pwm': 44883.0, 'pwm.m1_pwm': 45909.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 44699.0}
[197118][PWM]: {'pwm.m2_pwm': 46388.0, 'pwm.m3_pwm': 45470.0, 'pwm.m1_pwm': 46073.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 45053.0}
[197168][PWM]: {'pwm.m2_pwm': 44442.0, 'pwm.m3_pwm': 43692.0, 'pwm.m1_pwm': 44552.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 43685.0}
[197218][PWM]: {'pwm.m2_pwm': 28041.0, 'pwm.m3_pwm': 28763.0, 'pwm.m1_pwm': 29284.0, 'pm.vbat': 3.7266862392425537, 'pwm.m4_pwm': 28483.0}
[197268][PWM]: {'pwm.m2_pwm': 43121.0, 'pwm.m3_pwm': 42242.0, 'pwm.m1_pwm': 42869.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 41411.0}
[197318][PWM]: {'pwm.m2_pwm': 30003.0, 'pwm.m3_pwm': 30816.0, 'pwm.m1_pwm': 33315.0, 'pm.vbat': 3.7055718898773193, 'pwm.m4_pwm': 32922.0}
[197368][PWM]: {'pwm.m2_pwm': 44208.0, 'pwm.m3_pwm': 44146.0, 'pwm.m1_pwm': 43877.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 43856.0}
[197418][PWM]: {'pwm.m2_pwm': 37024.0, 'pwm.m3_pwm': 31997.0, 'pwm.m1_pwm': 38558.0, 'pm.vbat': 3.6739003658294678, 'pwm.m4_pwm': 33133.0}
[197468][PWM]: {'pwm.m2_pwm': 45100.0, 'pwm.m3_pwm': 45767.0, 'pwm.m1_pwm': 43974.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 44951.0}
[197518][PWM]: {'pwm.m2_pwm': 39366.0, 'pwm.m3_pwm': 39996.0, 'pwm.m1_pwm': 35619.0, 'pm.vbat': 3.6527860164642334, 'pwm.m4_pwm': 36706.0}
[197568][PWM]: {'pwm.m2_pwm': 47583.0, 'pwm.m3_pwm': 43135.0, 'pwm.m1_pwm': 49239.0, 'pm.vbat': 3.5577714443206787, 'pwm.m4_pwm': 46367.0}
[197618][PWM]: {'pwm.m2_pwm': 40705.0, 'pwm.m3_pwm': 39411.0, 'pwm.m1_pwm': 39957.0, 'pm.vbat': 3.6369502544403076, 'pwm.m4_pwm': 39993.0}
[197668][PWM]: {'pwm.m2_pwm': 47071.0, 'pwm.m3_pwm': 45900.0, 'pwm.m1_pwm': 47522.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 47930.0}
[197718][PWM]: {'pwm.m2_pwm': 43860.0, 'pwm.m3_pwm': 37747.0, 'pwm.m1_pwm': 42560.0, 'pm.vbat': 3.621114492416382, 'pwm.m4_pwm': 38221.0}
[197768][PWM]: {'pwm.m2_pwm': 47162.0, 'pwm.m3_pwm': 46716.0, 'pwm.m1_pwm': 46737.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 48331.0}
[197818][PWM]: {'pwm.m2_pwm': 43816.0, 'pwm.m3_pwm': 39874.0, 'pwm.m1_pwm': 40833.0, 'pm.vbat': 3.621114492416382, 'pwm.m4_pwm': 39204.0}
[197868][PWM]: {'pwm.m2_pwm': 47421.0, 'pwm.m3_pwm': 45034.0, 'pwm.m1_pwm': 48259.0, 'pm.vbat': 3.5577714443206787, 'pwm.m4_pwm': 48165.0}
[197918][PWM]: {'pwm.m2_pwm': 43338.0, 'pwm.m3_pwm': 41179.0, 'pwm.m1_pwm': 39126.0, 'pm.vbat': 3.621114492416382, 'pwm.m4_pwm': 39384.0}
[197968][PWM]: {'pwm.m2_pwm': 46132.0, 'pwm.m3_pwm': 43926.0, 'pwm.m1_pwm': 47962.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 47740.0}
[198018][PWM]: {'pwm.m2_pwm': 42761.0, 'pwm.m3_pwm': 39841.0, 'pwm.m1_pwm': 40952.0, 'pm.vbat': 3.6263930797576904, 'pwm.m4_pwm': 39304.0}
[198068][PWM]: {'pwm.m2_pwm': 47348.0, 'pwm.m3_pwm': 45777.0, 'pwm.m1_pwm': 47192.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 46642.0}
[198118][PWM]: {'pwm.m2_pwm': 42894.0, 'pwm.m3_pwm': 41565.0, 'pwm.m1_pwm': 40975.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 40722.0}
[198168][PWM]: {'pwm.m2_pwm': 46389.0, 'pwm.m3_pwm': 45344.0, 'pwm.m1_pwm': 48050.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 47948.0}
[198218][PWM]: {'pwm.m2_pwm': 43502.0, 'pwm.m3_pwm': 41563.0, 'pwm.m1_pwm': 41112.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 39674.0}
[198268][PWM]: {'pwm.m2_pwm': 47617.0, 'pwm.m3_pwm': 45895.0, 'pwm.m1_pwm': 46726.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 45863.0}
[198318][PWM]: {'pwm.m2_pwm': 41373.0, 'pwm.m3_pwm': 40996.0, 'pwm.m1_pwm': 41320.0, 'pm.vbat': 3.621114492416382, 'pwm.m4_pwm': 41595.0}
[198368][PWM]: {'pwm.m2_pwm': 47897.0, 'pwm.m3_pwm': 46230.0, 'pwm.m1_pwm': 47681.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 46140.0}
[198418][PWM]: {'pwm.m2_pwm': 42893.0, 'pwm.m3_pwm': 42374.0, 'pwm.m1_pwm': 41278.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 40392.0}
[198468][PWM]: {'pwm.m2_pwm': 46622.0, 'pwm.m3_pwm': 46658.0, 'pwm.m1_pwm': 47731.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 47110.0}
[198518][PWM]: {'pwm.m2_pwm': 43832.0, 'pwm.m3_pwm': 42271.0, 'pwm.m1_pwm': 42509.0, 'pm.vbat': 3.605278730392456, 'pwm.m4_pwm': 40233.0}
[198568][PWM]: {'pwm.m2_pwm': 46992.0, 'pwm.m3_pwm': 46867.0, 'pwm.m1_pwm': 47620.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 47121.0}
[198618][PWM]: {'pwm.m2_pwm': 43120.0, 'pwm.m3_pwm': 41750.0, 'pwm.m1_pwm': 42985.0, 'pm.vbat': 3.605278730392456, 'pwm.m4_pwm': 41072.0}
[198668][PWM]: {'pwm.m2_pwm': 47252.0, 'pwm.m3_pwm': 47196.0, 'pwm.m1_pwm': 46936.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 46354.0}
[198718][PWM]: {'pwm.m2_pwm': 41685.0, 'pwm.m3_pwm': 41521.0, 'pwm.m1_pwm': 41974.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 40640.0}
[198768][PWM]: {'pwm.m2_pwm': 45959.0, 'pwm.m3_pwm': 45508.0, 'pwm.m1_pwm': 46892.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 45463.0}
[198818][PWM]: {'pwm.m2_pwm': 41020.0, 'pwm.m3_pwm': 41043.0, 'pwm.m1_pwm': 42211.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 40787.0}
[198868][PWM]: {'pwm.m2_pwm': 45817.0, 'pwm.m3_pwm': 45525.0, 'pwm.m1_pwm': 46377.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 44791.0}
[198918][PWM]: {'pwm.m2_pwm': 42197.0, 'pwm.m3_pwm': 41917.0, 'pwm.m1_pwm': 41464.0, 'pm.vbat': 3.6158359050750732, 'pwm.m4_pwm': 39573.0}
[198968][PWM]: {'pwm.m2_pwm': 44910.0, 'pwm.m3_pwm': 45254.0, 'pwm.m1_pwm': 45831.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 44392.0}
[199018][PWM]: {'pwm.m2_pwm': 41128.0, 'pwm.m3_pwm': 40228.0, 'pwm.m1_pwm': 44288.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 40959.0}
[199068][PWM]: {'pwm.m2_pwm': 46709.0, 'pwm.m3_pwm': 46175.0, 'pwm.m1_pwm': 46775.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 43706.0}
[199118][PWM]: {'pwm.m2_pwm': 41678.0, 'pwm.m3_pwm': 42275.0, 'pwm.m1_pwm': 44301.0, 'pm.vbat': 3.6000001430511475, 'pwm.m4_pwm': 42151.0}
[199168][PWM]: {'pwm.m2_pwm': 46545.0, 'pwm.m3_pwm': 46654.0, 'pwm.m1_pwm': 47285.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 44796.0}
[199218][PWM]: {'pwm.m2_pwm': 43100.0, 'pwm.m3_pwm': 42981.0, 'pwm.m1_pwm': 44113.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 40698.0}
[199268][PWM]: {'pwm.m2_pwm': 45510.0, 'pwm.m3_pwm': 45645.0, 'pwm.m1_pwm': 47528.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 44823.0}
[199318][PWM]: {'pwm.m2_pwm': 43276.0, 'pwm.m3_pwm': 43272.0, 'pwm.m1_pwm': 44127.0, 'pm.vbat': 3.6000001430511475, 'pwm.m4_pwm': 40842.0}
[199368][PWM]: {'pwm.m2_pwm': 46068.0, 'pwm.m3_pwm': 46418.0, 'pwm.m1_pwm': 47634.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 44902.0}
[199418][PWM]: {'pwm.m2_pwm': 42773.0, 'pwm.m3_pwm': 43306.0, 'pwm.m1_pwm': 43953.0, 'pm.vbat': 3.6000001430511475, 'pwm.m4_pwm': 40650.0}
[199468][PWM]: {'pwm.m2_pwm': 45952.0, 'pwm.m3_pwm': 45725.0, 'pwm.m1_pwm': 47234.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43859.0}
[199518][PWM]: {'pwm.m2_pwm': 43319.0, 'pwm.m3_pwm': 44252.0, 'pwm.m1_pwm': 43400.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 40827.0}
[199568][PWM]: {'pwm.m2_pwm': 46971.0, 'pwm.m3_pwm': 46224.0, 'pwm.m1_pwm': 47380.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43480.0}
[199618][PWM]: {'pwm.m2_pwm': 43077.0, 'pwm.m3_pwm': 43408.0, 'pwm.m1_pwm': 44039.0, 'pm.vbat': 3.594721555709839, 'pwm.m4_pwm': 41286.0}
[199668][PWM]: {'pwm.m2_pwm': 45766.0, 'pwm.m3_pwm': 45855.0, 'pwm.m1_pwm': 46760.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 44226.0}
[199718][PWM]: {'pwm.m2_pwm': 44381.0, 'pwm.m3_pwm': 44684.0, 'pwm.m1_pwm': 43261.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 40859.0}
[199768][PWM]: {'pwm.m2_pwm': 45688.0, 'pwm.m3_pwm': 46167.0, 'pwm.m1_pwm': 46633.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 44719.0}
[199818][PWM]: {'pwm.m2_pwm': 44164.0, 'pwm.m3_pwm': 43853.0, 'pwm.m1_pwm': 43480.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 40166.0}
[199868][PWM]: {'pwm.m2_pwm': 43528.0, 'pwm.m3_pwm': 43342.0, 'pwm.m1_pwm': 46150.0, 'pm.vbat': 3.6105573177337646, 'pwm.m4_pwm': 43303.0}
[199918][PWM]: {'pwm.m2_pwm': 42658.0, 'pwm.m3_pwm': 42719.0, 'pwm.m1_pwm': 43551.0, 'pm.vbat': 3.605278730392456, 'pwm.m4_pwm': 40636.0}
[199968][PWM]: {'pwm.m2_pwm': 45695.0, 'pwm.m3_pwm': 45043.0, 'pwm.m1_pwm': 46315.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 42954.0}
[200018][PWM]: {'pwm.m2_pwm': 42668.0, 'pwm.m3_pwm': 43300.0, 'pwm.m1_pwm': 44670.0, 'pm.vbat': 3.5894429683685303, 'pwm.m4_pwm': 42382.0}
[200068][PWM]: {'pwm.m2_pwm': 45486.0, 'pwm.m3_pwm': 45135.0, 'pwm.m1_pwm': 47054.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 44009.0}
[200118][PWM]: {'pwm.m2_pwm': 43639.0, 'pwm.m3_pwm': 43680.0, 'pwm.m1_pwm': 44724.0, 'pm.vbat': 3.5894429683685303, 'pwm.m4_pwm': 41713.0}
[200168][PWM]: {'pwm.m2_pwm': 44628.0, 'pwm.m3_pwm': 45065.0, 'pwm.m1_pwm': 46609.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 43907.0}
[200218][PWM]: {'pwm.m2_pwm': 43789.0, 'pwm.m3_pwm': 43704.0, 'pwm.m1_pwm': 44910.0, 'pm.vbat': 3.5894429683685303, 'pwm.m4_pwm': 41481.0}
[200268][PWM]: {'pwm.m2_pwm': 45013.0, 'pwm.m3_pwm': 45209.0, 'pwm.m1_pwm': 46892.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 44023.0}
[200318][PWM]: {'pwm.m2_pwm': 43853.0, 'pwm.m3_pwm': 43086.0, 'pwm.m1_pwm': 45580.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 41607.0}
[200368][PWM]: {'pwm.m2_pwm': 45285.0, 'pwm.m3_pwm': 45837.0, 'pwm.m1_pwm': 46590.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 44083.0}
[200418][PWM]: {'pwm.m2_pwm': 43816.0, 'pwm.m3_pwm': 43784.0, 'pwm.m1_pwm': 45084.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 41663.0}
[200468][PWM]: {'pwm.m2_pwm': 45394.0, 'pwm.m3_pwm': 45460.0, 'pwm.m1_pwm': 46942.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 44154.0}
[200518][PWM]: {'pwm.m2_pwm': 44306.0, 'pwm.m3_pwm': 44094.0, 'pwm.m1_pwm': 45223.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 41895.0}
[200568][PWM]: {'pwm.m2_pwm': 45748.0, 'pwm.m3_pwm': 45620.0, 'pwm.m1_pwm': 46757.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 43914.0}
[200618][PWM]: {'pwm.m2_pwm': 44387.0, 'pwm.m3_pwm': 43966.0, 'pwm.m1_pwm': 45095.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 41695.0}
[200668][PWM]: {'pwm.m2_pwm': 45548.0, 'pwm.m3_pwm': 45585.0, 'pwm.m1_pwm': 46222.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 43776.0}
[200718][PWM]: {'pwm.m2_pwm': 44618.0, 'pwm.m3_pwm': 43881.0, 'pwm.m1_pwm': 44082.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 40688.0}
[200768][PWM]: {'pwm.m2_pwm': 44792.0, 'pwm.m3_pwm': 44484.0, 'pwm.m1_pwm': 46185.0, 'pm.vbat': 3.5894429683685303, 'pwm.m4_pwm': 43506.0}
[200818][PWM]: {'pwm.m2_pwm': 44155.0, 'pwm.m3_pwm': 43473.0, 'pwm.m1_pwm': 45067.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 41943.0}
[200868][PWM]: {'pwm.m2_pwm': 44948.0, 'pwm.m3_pwm': 44248.0, 'pwm.m1_pwm': 45920.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43093.0}
[200918][PWM]: {'pwm.m2_pwm': 43582.0, 'pwm.m3_pwm': 43113.0, 'pwm.m1_pwm': 45151.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 42569.0}
[200968][PWM]: {'pwm.m2_pwm': 45331.0, 'pwm.m3_pwm': 43727.0, 'pwm.m1_pwm': 45871.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 42009.0}
[201018][PWM]: {'pwm.m2_pwm': 44420.0, 'pwm.m3_pwm': 43546.0, 'pwm.m1_pwm': 44696.0, 'pm.vbat': 3.5841643810272217, 'pwm.m4_pwm': 41877.0}
[201068][PWM]: {'pwm.m2_pwm': 45081.0, 'pwm.m3_pwm': 44143.0, 'pwm.m1_pwm': 46028.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43357.0}
[201118][PWM]: {'pwm.m2_pwm': 44866.0, 'pwm.m3_pwm': 43363.0, 'pwm.m1_pwm': 45328.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 42070.0}
[201168][PWM]: {'pwm.m2_pwm': 45735.0, 'pwm.m3_pwm': 44316.0, 'pwm.m1_pwm': 45827.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 42902.0}
[201218][PWM]: {'pwm.m2_pwm': 44609.0, 'pwm.m3_pwm': 44270.0, 'pwm.m1_pwm': 45022.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43347.0}
[201268][PWM]: {'pwm.m2_pwm': 46690.0, 'pwm.m3_pwm': 44929.0, 'pwm.m1_pwm': 46863.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 44062.0}
[201318][PWM]: {'pwm.m2_pwm': 45672.0, 'pwm.m3_pwm': 44617.0, 'pwm.m1_pwm': 45370.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 43108.0}
[201368][PWM]: {'pwm.m2_pwm': 45396.0, 'pwm.m3_pwm': 44628.0, 'pwm.m1_pwm': 46284.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 44232.0}
[201418][PWM]: {'pwm.m2_pwm': 46528.0, 'pwm.m3_pwm': 44679.0, 'pwm.m1_pwm': 45467.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 42206.0}
[201468][PWM]: {'pwm.m2_pwm': 45948.0, 'pwm.m3_pwm': 45582.0, 'pwm.m1_pwm': 46452.0, 'pm.vbat': 3.5630500316619873, 'pwm.m4_pwm': 44635.0}
[201518][PWM]: {'pwm.m2_pwm': 45454.0, 'pwm.m3_pwm': 43729.0, 'pwm.m1_pwm': 45913.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 42638.0}
[201568][PWM]: {'pwm.m2_pwm': 45561.0, 'pwm.m3_pwm': 44987.0, 'pwm.m1_pwm': 45971.0, 'pm.vbat': 3.568328619003296, 'pwm.m4_pwm': 43714.0}
[201618][PWM]: {'pwm.m2_pwm': 44389.0, 'pwm.m3_pwm': 43068.0, 'pwm.m1_pwm': 45236.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 42310.0}
[201668][PWM]: {'pwm.m2_pwm': 45244.0, 'pwm.m3_pwm': 43975.0, 'pwm.m1_pwm': 45861.0, 'pm.vbat': 3.578885793685913, 'pwm.m4_pwm': 43298.0}
[201718][PWM]: {'pwm.m2_pwm': 45236.0, 'pwm.m3_pwm': 43496.0, 'pwm.m1_pwm': 45470.0, 'pm.vbat': 3.5736072063446045, 'pwm.m4_pwm': 42342.0}
