Wed Feb 21 06:10:04 2018
###Command: takeoff###
[279462][PWM]: {'pwm.m1_pwm': 42989.0, 'pm.vbat': 3.4521994590759277, 'pwm.m2_pwm': 44247.0, 'pwm.m3_pwm': 43598.0, 'pwm.m4_pwm': 42516.0}
[279512][PWM]: {'pwm.m1_pwm': 41337.0, 'pm.vbat': 3.5313782691955566, 'pwm.m2_pwm': 41793.0, 'pwm.m3_pwm': 39934.0, 'pwm.m4_pwm': 38983.0}
[279562][PWM]: {'pwm.m1_pwm': 40877.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 40997.0, 'pwm.m3_pwm': 39286.0, 'pwm.m4_pwm': 39454.0}
[279612][PWM]: {'pwm.m1_pwm': 42983.0, 'pm.vbat': 3.621114492416382, 'pwm.m2_pwm': 38289.0, 'pwm.m3_pwm': 35654.0, 'pwm.m4_pwm': 40719.0}
[279662][PWM]: {'pwm.m1_pwm': 35421.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 37287.0, 'pwm.m3_pwm': 40261.0, 'pwm.m4_pwm': 39770.0}
[279712][PWM]: {'pwm.m1_pwm': 36089.0, 'pm.vbat': 3.6739003658294678, 'pwm.m2_pwm': 39944.0, 'pwm.m3_pwm': 39349.0, 'pwm.m4_pwm': 35117.0}
[279762][PWM]: {'pwm.m1_pwm': 43117.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 42340.0, 'pwm.m3_pwm': 39956.0, 'pwm.m4_pwm': 41445.0}
[279812][PWM]: {'pwm.m1_pwm': 45342.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 48189.0, 'pwm.m3_pwm': 43723.0, 'pwm.m4_pwm': 39536.0}
[279862][PWM]: {'pwm.m1_pwm': 42194.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 47202.0, 'pwm.m3_pwm': 51114.0, 'pwm.m4_pwm': 43760.0}
[279912][PWM]: {'pwm.m1_pwm': 46548.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 41707.0, 'pwm.m3_pwm': 42845.0, 'pwm.m4_pwm': 45669.0}
[279962][PWM]: {'pwm.m1_pwm': 45236.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 41873.0, 'pwm.m3_pwm': 48118.0, 'pwm.m4_pwm': 38469.0}
