time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 40602, 39367, 36368, 37774, 3.45747804641724, 1.32032296749017, 1.23661627182364, 1.04409965776804, 1.13244813696451, 4.73348703404637
50, 41124, 40566, 37941, 38811, 3.56305003166199, 1.35647230517209, 1.31784670689909, 1.14316628803123, 1.19977018053916, 5.01725548064157
100, 41024, 42665, 39480, 37776, 3.58416438102722, 1.3495118921837, 1.46583547954864, 1.24416860991718, 1.13257621696531, 5.19209219861483
150, 44369, 45144, 42792, 41910, 3.58944296836853, 1.591332713471, 1.64998319469648, 1.47502405980348, 1.41176128257257, 6.12810125054353
200, 42197, 46148, 46110, 41505, 3.5683286190033, 1.43220539434702, 1.72741511548681, 1.72445471438831, 1.38314427549331, 6.26721949971545
250, 46658, 48187, 48499, 44021, 3.5736072063446, 1.76737227071713, 1.88966889610141, 1.91508297750184, 1.56531574666479, 7.13743989098517
300, 48055, 45593, 44677, 46984, 3.55777144432068, 1.87896345834608, 1.68440969052883, 1.61452431201391, 1.7931329432643, 6.97103040415312
350, 41654, 39406, 46716, 43047, 3.59472155570984, 1.39364080033147, 1.23922039710223, 1.77194295827527, 1.49355395052277, 5.89835810623174
400, 43743, 46562, 38332, 31781, 3.61583590507507, 1.54467455937235, 1.75981889425698, 1.16844650738013, 0.779651938188009, 5.25259189919747
450, 37841, 35444, 39225, 39727, 3.65806460380554, 1.13674252729745, 0.987887234108548, 1.22715627212343, 1.26075175735882, 4.61253779088825
500, 36892, 36338, 43064, 42172, 3.62639307975769, 1.07663043540625, 1.04225148011268, 1.49479308885526, 1.43041911770741, 5.0440941220816
550, 48271, 49227, 42485, 40350, 3.58944296836853, 1.89649590405929, 1.97498387422309, 1.45285794854902, 1.30303473300533, 6.62737245983674
600, 44262, 45818, 48704, 46924, 3.53665685653687, 1.5833121549876, 1.70178424617622, 1.93186561347775, 1.78837888696999, 7.00534090161155
650, 50267, 50870, 50283, 49517, 3.53665685653687, 2.06201027985362, 2.11324796607065, 2.06336245219284, 1.99907928939638, 8.23769998751349
700, 48858, 50114, 47140, 46147, 3.52082109451294, 1.94451695573993, 2.04910045198349, 1.80552054476448, 1.72733718031335, 7.52647513280125
750, 46996, 50894, 49736, 46207, 3.54721426963806, 1.79408444846521, 2.11529906618902, 2.01736351517867, 1.73201614903512, 7.65876317886801
800, 47123, 46945, 46332, 46839, 3.54721426963806, 1.80416871736974, 1.79004214879969, 1.74178266488868, 1.78165387643332, 7.11764740749143
850, 48981, 48379, 46511, 47504, 3.54193544387817, 1.95464862345192, 1.90528999570108, 1.75581220000056, 1.83457672995438, 7.45032754910794
900, 48619, 48420, 48633, 49351, 3.52082109451294, 1.92489885612426, 1.90863335490921, 1.92604553259205, 1.98527047136882, 7.74484821499435
950, 47844, 46820, 45786, 47746, 3.54193544387817, 1.86190869799215, 1.78015222697996, 1.69930819726085, 1.85401170418522, 7.19538082641818
1000, 46944, 47796, 45313, 45413, 3.54721426963806, 1.78996292978872, 1.85803886560502, 1.66290263819469, 1.67056912483102, 6.98147355841945
1050, 44506, 44383, 42912, 44128, 3.5736072063446, 1.60162933559064, 1.59238351661657, 1.48373064782333, 1.57329412141139, 6.25103762144193
1100, 44531, 44639, 42234, 43495, 3.57888579368591, 1.60351158793831, 1.61165463898435, 1.43485098443241, 1.52636784194789, 6.17638505330296
1150, 42708, 42317, 41517, 43364, 3.59472155570984, 1.46894359098839, 1.44079393616105, 1.38398826546918, 1.51673854519764, 5.81046433781626
1200, 35391, 44419, 43839, 35405, 3.70557188987732, 0.984707612232835, 1.59508705224502, 1.55178813014995, 0.985547040254173, 5.11712983488198
1250, 41533, 42116, 40353, 41133, 3.60000014305115, 1.38511395824768, 1.42642161721762, 1.30323991938681, 1.3570995609129, 5.47187505576501
1300, 28562, 33639, 33404, 30198, 3.68445754051208, 0.616222582276106, 0.882344337850707, 0.869020997944571, 0.696971320635473, 3.06455923870686
1350, 42974, 42763, 43214, 44800, 3.58416438102722, 1.4882383592975, 1.47292353351402, 1.50574729625337, 1.62382913413504, 6.09073832319994
1400, 43834, 29815, 25904, 42266, 3.64222884178162, 1.55141725857218, 0.677637452470882, 0.495335864612547, 1.4371408913808, 4.16153146703641
1450, 45757, 45889, 44644, 46274, 3.56305003166199, 1.69706570986028, 1.70728389755255, 1.61203209298535, 1.73724786598994, 6.75362956638813
1500, 39859, 39354, 38254, 40726, 3.61583590507507, 1.26965612480409, 1.23574880031469, 1.16338264388688, 1.32886891333679, 4.99765648234246
1550, 40435, 41299, 39900, 40815, 3.61583590507507, 1.30885418958458, 1.36869317048307, 1.27242784161738, 1.33501855351908, 5.28499375520411
1600, 40614, 44849, 43351, 40674, 3.52609968185425, 1.32114886984772, 1.62754280065416, 1.51578450517351, 1.32528199701198, 5.78975817268737
1650, 49526, 48076, 46423, 49153, 3.54721426963806, 1.9998292043317, 1.88066473808559, 1.74890854330499, 1.96885668921783, 7.59825917494011
1700, 43021, 42036, 40959, 43259, 3.58944296836853, 1.49165971906675, 1.42071992207364, 1.34499657626884, 1.50904078320826, 5.76641700061749
