Wed Feb 21 06:10:38 2018
###Command: takeoff###
[313935][PWM]: {'pwm.m4_pwm': 37774.0, 'pwm.m2_pwm': 39367.0, 'pm.vbat': 3.4574780464172363, 'pwm.m1_pwm': 40602.0, 'pwm.m3_pwm': 36368.0}
[313985][PWM]: {'pwm.m4_pwm': 38811.0, 'pwm.m2_pwm': 40566.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 41124.0, 'pwm.m3_pwm': 37941.0}
[314035][PWM]: {'pwm.m4_pwm': 37776.0, 'pwm.m2_pwm': 42665.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 41024.0, 'pwm.m3_pwm': 39480.0}
[314085][PWM]: {'pwm.m4_pwm': 41910.0, 'pwm.m2_pwm': 45144.0, 'pm.vbat': 3.5894429683685303, 'pwm.m1_pwm': 44369.0, 'pwm.m3_pwm': 42792.0}
[314135][PWM]: {'pwm.m4_pwm': 41505.0, 'pwm.m2_pwm': 46148.0, 'pm.vbat': 3.568328619003296, 'pwm.m1_pwm': 42197.0, 'pwm.m3_pwm': 46110.0}
[314185][PWM]: {'pwm.m4_pwm': 44021.0, 'pwm.m2_pwm': 48187.0, 'pm.vbat': 3.5736072063446045, 'pwm.m1_pwm': 46658.0, 'pwm.m3_pwm': 48499.0}
[314235][PWM]: {'pwm.m4_pwm': 46984.0, 'pwm.m2_pwm': 45593.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 48055.0, 'pwm.m3_pwm': 44677.0}
[314285][PWM]: {'pwm.m4_pwm': 43047.0, 'pwm.m2_pwm': 39406.0, 'pm.vbat': 3.594721555709839, 'pwm.m1_pwm': 41654.0, 'pwm.m3_pwm': 46716.0}
[314335][PWM]: {'pwm.m4_pwm': 31781.0, 'pwm.m2_pwm': 46562.0, 'pm.vbat': 3.6158359050750732, 'pwm.m1_pwm': 43743.0, 'pwm.m3_pwm': 38332.0}
[314385][PWM]: {'pwm.m4_pwm': 39727.0, 'pwm.m2_pwm': 35444.0, 'pm.vbat': 3.658064603805542, 'pwm.m1_pwm': 37841.0, 'pwm.m3_pwm': 39225.0}
[314435][PWM]: {'pwm.m4_pwm': 42172.0, 'pwm.m2_pwm': 36338.0, 'pm.vbat': 3.6263930797576904, 'pwm.m1_pwm': 36892.0, 'pwm.m3_pwm': 43064.0}
[314485][PWM]: {'pwm.m4_pwm': 40350.0, 'pwm.m2_pwm': 49227.0, 'pm.vbat': 3.5894429683685303, 'pwm.m1_pwm': 48271.0, 'pwm.m3_pwm': 42485.0}
[314535][PWM]: {'pwm.m4_pwm': 46924.0, 'pwm.m2_pwm': 45818.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 44262.0, 'pwm.m3_pwm': 48704.0}
[314585][PWM]: {'pwm.m4_pwm': 49517.0, 'pwm.m2_pwm': 50870.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 50267.0, 'pwm.m3_pwm': 50283.0}
[314635][PWM]: {'pwm.m4_pwm': 46147.0, 'pwm.m2_pwm': 50114.0, 'pm.vbat': 3.5208210945129395, 'pwm.m1_pwm': 48858.0, 'pwm.m3_pwm': 47140.0}
[314685][PWM]: {'pwm.m4_pwm': 46207.0, 'pwm.m2_pwm': 50894.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 46996.0, 'pwm.m3_pwm': 49736.0}
[314735][PWM]: {'pwm.m4_pwm': 46839.0, 'pwm.m2_pwm': 46945.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 47123.0, 'pwm.m3_pwm': 46332.0}
[314785][PWM]: {'pwm.m4_pwm': 47504.0, 'pwm.m2_pwm': 48379.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 48981.0, 'pwm.m3_pwm': 46511.0}
[314835][PWM]: {'pwm.m4_pwm': 49351.0, 'pwm.m2_pwm': 48420.0, 'pm.vbat': 3.5208210945129395, 'pwm.m1_pwm': 48619.0, 'pwm.m3_pwm': 48633.0}
[314885][PWM]: {'pwm.m4_pwm': 47746.0, 'pwm.m2_pwm': 46820.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 47844.0, 'pwm.m3_pwm': 45786.0}
[314935][PWM]: {'pwm.m4_pwm': 45413.0, 'pwm.m2_pwm': 47796.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 46944.0, 'pwm.m3_pwm': 45313.0}
[314985][PWM]: {'pwm.m4_pwm': 44128.0, 'pwm.m2_pwm': 44383.0, 'pm.vbat': 3.5736072063446045, 'pwm.m1_pwm': 44506.0, 'pwm.m3_pwm': 42912.0}
[315035][PWM]: {'pwm.m4_pwm': 43495.0, 'pwm.m2_pwm': 44639.0, 'pm.vbat': 3.578885793685913, 'pwm.m1_pwm': 44531.0, 'pwm.m3_pwm': 42234.0}
[315085][PWM]: {'pwm.m4_pwm': 43364.0, 'pwm.m2_pwm': 42317.0, 'pm.vbat': 3.594721555709839, 'pwm.m1_pwm': 42708.0, 'pwm.m3_pwm': 41517.0}
