Wed Feb 21 06:32:40 2018
###Command: takeoff###
[171520][PWM]: {'pwm.m2_pwm': 43963.0, 'pm.vbat': 3.2357773780822754, 'pwm.m1_pwm': 48823.0, 'pwm.m3_pwm': 41028.0, 'pwm.m4_pwm': 46534.0}
[171570][PWM]: {'pwm.m2_pwm': 45194.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 44481.0, 'pwm.m3_pwm': 44743.0, 'pwm.m4_pwm': 43796.0}
[171620][PWM]: {'pwm.m2_pwm': 42059.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 41630.0, 'pwm.m3_pwm': 42887.0, 'pwm.m4_pwm': 41941.0}
[171670][PWM]: {'pwm.m2_pwm': 44702.0, 'pm.vbat': 3.4258065223693848, 'pwm.m1_pwm': 45517.0, 'pwm.m3_pwm': 44457.0, 'pwm.m4_pwm': 43186.0}
[171720][PWM]: {'pwm.m2_pwm': 46958.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 45638.0, 'pwm.m3_pwm': 45760.0, 'pwm.m4_pwm': 43162.0}
[171770][PWM]: {'pwm.m2_pwm': 47508.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 46053.0, 'pwm.m3_pwm': 50191.0, 'pwm.m4_pwm': 47906.0}
[171820][PWM]: {'pwm.m2_pwm': 50508.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 41336.0, 'pwm.m3_pwm': 48366.0, 'pwm.m4_pwm': 37904.0}
[171870][PWM]: {'pwm.m2_pwm': 49899.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 52743.0, 'pwm.m3_pwm': 48867.0, 'pwm.m4_pwm': 50636.0}
[171920][PWM]: {'pwm.m2_pwm': 49754.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 51841.0, 'pwm.m3_pwm': 52101.0, 'pwm.m4_pwm': 51899.0}
[171970][PWM]: {'pwm.m2_pwm': 49268.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 50342.0, 'pwm.m3_pwm': 41073.0, 'pwm.m4_pwm': 41717.0}
[172020][PWM]: {'pwm.m2_pwm': 41614.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 42006.0, 'pwm.m3_pwm': 49663.0, 'pwm.m4_pwm': 49387.0}
[172070][PWM]: {'pwm.m2_pwm': 44690.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 39954.0, 'pwm.m3_pwm': 43750.0, 'pwm.m4_pwm': 41022.0}
[172120][PWM]: {'pwm.m2_pwm': 46651.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 44392.0, 'pwm.m3_pwm': 39779.0, 'pwm.m4_pwm': 39280.0}
[172170][PWM]: {'pwm.m2_pwm': 41313.0, 'pm.vbat': 3.4416422843933105, 'pwm.m1_pwm': 42272.0, 'pwm.m3_pwm': 42095.0, 'pwm.m4_pwm': 45522.0}
[172220][PWM]: {'pwm.m2_pwm': 48767.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 43509.0, 'pwm.m3_pwm': 46375.0, 'pwm.m4_pwm': 44323.0}
[172270][PWM]: {'pwm.m2_pwm': 48325.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 46374.0, 'pwm.m3_pwm': 44977.0, 'pwm.m4_pwm': 46279.0}
[172320][PWM]: {'pwm.m2_pwm': 48425.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46987.0, 'pwm.m3_pwm': 48582.0, 'pwm.m4_pwm': 50570.0}
[172370][PWM]: {'pwm.m2_pwm': 51634.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48338.0, 'pwm.m3_pwm': 47250.0, 'pwm.m4_pwm': 47710.0}
[172420][PWM]: {'pwm.m2_pwm': 51605.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 49325.0, 'pwm.m3_pwm': 48900.0, 'pwm.m4_pwm': 50939.0}
[172470][PWM]: {'pwm.m2_pwm': 49857.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 46694.0, 'pwm.m3_pwm': 47507.0, 'pwm.m4_pwm': 49154.0}
[172520][PWM]: {'pwm.m2_pwm': 50755.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47131.0, 'pwm.m3_pwm': 48515.0, 'pwm.m4_pwm': 48181.0}
[172570][PWM]: {'pwm.m2_pwm': 48786.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 46293.0, 'pwm.m3_pwm': 47594.0, 'pwm.m4_pwm': 47946.0}
[172620][PWM]: {'pwm.m2_pwm': 50090.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47464.0, 'pwm.m3_pwm': 48599.0, 'pwm.m4_pwm': 48629.0}
