time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 48063, 47579, 44511, 44639, 3.07214069366455, 1.87961148199023, 1.84058994877688, 1.60200570443831, 1.61165463898435, 6.93386177418977
50, 47036, 47204, 46625, 46382, 3.18826961517334, 1.79725780265633, 1.81061393578589, 1.76477412385652, 1.74569632977003, 7.11834219206877
100, 42665, 46761, 46191, 42017, 3.3096776008606, 1.46583547954864, 1.77549291041153, 1.73076785566327, 1.41936732939856, 6.391463575022
150, 45363, 48524, 47480, 43874, 3.26744890213013, 1.66673385223163, 1.91712606463279, 1.83265440128153, 1.55438537886839, 6.97089969701435
200, 47447, 49055, 48299, 42789, 3.16715526580811, 1.83001270503236, 1.96075565214575, 1.89877407070343, 1.47480669959554, 7.16434912747709
250, 43520, 50065, 48614, 39935, 3.35718488693237, 1.52820869916958, 2.04497371426966, 1.92448940427989, 1.2747961778296, 6.77246799554873
300, 50135, 54237, 53668, 46797, 3.09325504302979, 2.0508702099955, 2.40973929684028, 2.35840604075059, 1.7783352174328, 8.59735076501916
350, 58612, 56514, 53042, 53887, 3.07741928100586, 2.82082718157793, 2.62009714090839, 2.30250467822137, 2.37810475630052, 10.1215337570082
400, 50428, 53465, 59174, 55609, 3.02991199493408, 2.07563484704704, 2.34021224945113, 2.87570971932147, 2.53554861299198, 9.82710542881163
450, 51637, 46342, 41654, 45188, 3.26217031478882, 2.17924279110187, 1.7425650752846, 1.39364080033147, 1.6533423680414, 6.96879103475934
500, 42841, 42542, 40336, 38606, 3.33079195022583, 1.47857637942046, 1.45696170471467, 1.30207739609806, 1.1863168131805, 5.42393229341369
550, 35293, 42776, 45097, 38087, 3.3096776008606, 0.978841109378321, 1.47386497704939, 1.64639846350556, 1.15257554742045, 5.25168009735372
600, 45733, 42450, 38999, 43554, 3.18299102783203, 1.69521088803915, 1.45034076116305, 1.21217045300851, 1.53071391292317, 5.88843601513388
