Wed Feb 21 12:47:27 2018
###Command: takeoff###
[28469][PWM]: {'pwm.m2_pwm': 47579.0, 'pwm.m4_pwm': 44639.0, 'pwm.m1_pwm': 48063.0, 'pwm.m3_pwm': 44511.0, 'pm.vbat': 3.072140693664551}
[28519][PWM]: {'pwm.m2_pwm': 47204.0, 'pwm.m4_pwm': 46382.0, 'pwm.m1_pwm': 47036.0, 'pwm.m3_pwm': 46625.0, 'pm.vbat': 3.18826961517334}
[28569][PWM]: {'pwm.m2_pwm': 46761.0, 'pwm.m4_pwm': 42017.0, 'pwm.m1_pwm': 42665.0, 'pwm.m3_pwm': 46191.0, 'pm.vbat': 3.3096776008605957}
[28619][PWM]: {'pwm.m2_pwm': 48524.0, 'pwm.m4_pwm': 43874.0, 'pwm.m1_pwm': 45363.0, 'pwm.m3_pwm': 47480.0, 'pm.vbat': 3.267448902130127}
[28669][PWM]: {'pwm.m2_pwm': 49055.0, 'pwm.m4_pwm': 42789.0, 'pwm.m1_pwm': 47447.0, 'pwm.m3_pwm': 48299.0, 'pm.vbat': 3.1671552658081055}
[28719][PWM]: {'pwm.m2_pwm': 50065.0, 'pwm.m4_pwm': 39935.0, 'pwm.m1_pwm': 43520.0, 'pwm.m3_pwm': 48614.0, 'pm.vbat': 3.357184886932373}
[28769][PWM]: {'pwm.m2_pwm': 54237.0, 'pwm.m4_pwm': 46797.0, 'pwm.m1_pwm': 50135.0, 'pwm.m3_pwm': 53668.0, 'pm.vbat': 3.093255043029785}
[28819][PWM]: {'pwm.m2_pwm': 56514.0, 'pwm.m4_pwm': 53887.0, 'pwm.m1_pwm': 58612.0, 'pwm.m3_pwm': 53042.0, 'pm.vbat': 3.0774192810058594}
[28869][PWM]: {'pwm.m2_pwm': 53465.0, 'pwm.m4_pwm': 55609.0, 'pwm.m1_pwm': 50428.0, 'pwm.m3_pwm': 59174.0, 'pm.vbat': 3.029911994934082}
[28919][PWM]: {'pwm.m2_pwm': 46342.0, 'pwm.m4_pwm': 45188.0, 'pwm.m1_pwm': 51637.0, 'pwm.m3_pwm': 41654.0, 'pm.vbat': 3.2621703147888184}
[28969][PWM]: {'pwm.m2_pwm': 42542.0, 'pwm.m4_pwm': 38606.0, 'pwm.m1_pwm': 42841.0, 'pwm.m3_pwm': 40336.0, 'pm.vbat': 3.33079195022583}
[29019][PWM]: {'pwm.m2_pwm': 42776.0, 'pwm.m4_pwm': 38087.0, 'pwm.m1_pwm': 35293.0, 'pwm.m3_pwm': 45097.0, 'pm.vbat': 3.3096776008605957}
[29069][PWM]: {'pwm.m2_pwm': 42450.0, 'pwm.m4_pwm': 43554.0, 'pwm.m1_pwm': 45733.0, 'pwm.m3_pwm': 38999.0, 'pm.vbat': 3.1829910278320312}
[29119][PWM]: {'pwm.m2_pwm': 49317.0, 'pwm.m4_pwm': 47900.0, 'pwm.m1_pwm': 45114.0, 'pwm.m3_pwm': 47874.0, 'pm.vbat': 3.119647979736328}
[29169][PWM]: {'pwm.m2_pwm': 50387.0, 'pwm.m4_pwm': 49230.0, 'pwm.m1_pwm': 47122.0, 'pwm.m3_pwm': 48649.0, 'pm.vbat': 3.230498790740967}
[29219][PWM]: {'pwm.m2_pwm': 53733.0, 'pwm.m4_pwm': 51098.0, 'pwm.m1_pwm': 51809.0, 'pwm.m3_pwm': 48660.0, 'pm.vbat': 3.214663028717041}
