time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 46288, 45345, 44033, 44947, 3.2516131401062, 1.73834197566997, 1.66535414756248, 1.56620958441357, 1.63498186536467, 6.60488757301069
50, 43252, 42201, 41669, 42455, 3.30439901351929, 1.50852824409773, 1.43249129472618, 1.39469954340183, 1.45070023529018, 5.78641931751592
100, 43486, 44323, 41609, 40949, 3.36246347427368, 1.52570538476446, 1.58788232964271, 1.39046681616523, 1.34430253856558, 5.84835706913798
150, 37354, 42022, 44303, 39402, 3.41524934768677, 1.10570249208514, 1.41972321677639, 1.58638324146396, 1.23895318924275, 5.35076213956824
200, 38614, 42214, 44532, 41796, 3.42052793502808, 1.18684048732048, 1.43342065406111, 1.60358689925293, 1.4036785573203, 5.62752659795482
250, 42759, 45590, 44347, 40934, 3.41524934768677, 1.47263391471603, 1.68417858389196, 1.5896820984609, 1.34326179521236, 6.08975639228125
300, 48900, 50297, 49069, 47221, 3.35718488693237, 1.94797385239878, 2.06454593291685, 1.96191201191468, 1.81196797213196, 7.78639976936227
350, 40490, 45372, 49594, 39643, 3.36246347427368, 1.31262617278406, 1.66742390181622, 2.0054993619006, 1.25510061191407, 6.24065004841495
400, 44983, 48897, 54934, 49294, 3.40997076034546, 1.63771850992124, 1.94772683843079, 2.4732946775475, 1.98053893480975, 8.03927896070929
450, 44986, 48711, 52173, 46449, 3.38885641098022, 1.63794665884803, 1.93243985782136, 2.22590561085407, 1.75094696099194, 7.5472390885154
500, 38396, 40960, 44591, 44322, 3.40997076034546, 1.17260918931125, 1.34506598922591, 1.60803315556427, 1.5878073597054, 5.71351569380684
550, 42490, 43016, 37202, 34551, 3.436363697052, 1.45321771216243, 1.49129557152768, 1.09609735264923, 0.934963329516822, 4.97557396585616
600, 39131, 47690, 52942, 44639, 3.38357782363892, 1.22091274836121, 1.84950602652757, 2.29363064475689, 1.61165463898435, 6.97570405863002
650, 43883, 46195, 48576, 45470, 3.38357782363892, 1.55505356741795, 1.73107989025718, 1.92137886843515, 1.6749462845307, 6.88245861064098
700, 52016, 52589, 51996, 49898, 3.33607053756714, 2.21219136677487, 2.26242873075998, 2.2104470766168, 2.0309375036773, 8.71600467782895
750, 48769, 53309, 56807, 51772, 3.3149561882019, 1.93720087504723, 2.32627385426734, 2.64773479026235, 2.1909534828494, 9.10216300242632
800, 49760, 53499, 56037, 50603, 3.29912042617798, 2.01937186619201, 2.34325507142164, 2.57537988935793, 2.09049030199358, 9.02849712896516
