Wed Feb 21 12:59:51 2018
###Command: takeoff###
[67721][PWM]: {'pwm.m1_pwm': 46288.0, 'pwm.m2_pwm': 45345.0, 'pwm.m4_pwm': 44947.0, 'pwm.m3_pwm': 44033.0, 'pm.vbat': 3.251613140106201}
[67771][PWM]: {'pwm.m1_pwm': 43252.0, 'pwm.m2_pwm': 42201.0, 'pwm.m4_pwm': 42455.0, 'pwm.m3_pwm': 41669.0, 'pm.vbat': 3.304399013519287}
[67821][PWM]: {'pwm.m1_pwm': 43486.0, 'pwm.m2_pwm': 44323.0, 'pwm.m4_pwm': 40949.0, 'pwm.m3_pwm': 41609.0, 'pm.vbat': 3.3624634742736816}
[67871][PWM]: {'pwm.m1_pwm': 37354.0, 'pwm.m2_pwm': 42022.0, 'pwm.m4_pwm': 39402.0, 'pwm.m3_pwm': 44303.0, 'pm.vbat': 3.4152493476867676}
[67921][PWM]: {'pwm.m1_pwm': 38614.0, 'pwm.m2_pwm': 42214.0, 'pwm.m4_pwm': 41796.0, 'pwm.m3_pwm': 44532.0, 'pm.vbat': 3.420527935028076}
[67971][PWM]: {'pwm.m1_pwm': 42759.0, 'pwm.m2_pwm': 45590.0, 'pwm.m4_pwm': 40934.0, 'pwm.m3_pwm': 44347.0, 'pm.vbat': 3.4152493476867676}
[68021][PWM]: {'pwm.m1_pwm': 48900.0, 'pwm.m2_pwm': 50297.0, 'pwm.m4_pwm': 47221.0, 'pwm.m3_pwm': 49069.0, 'pm.vbat': 3.357184886932373}
[68071][PWM]: {'pwm.m1_pwm': 40490.0, 'pwm.m2_pwm': 45372.0, 'pwm.m4_pwm': 39643.0, 'pwm.m3_pwm': 49594.0, 'pm.vbat': 3.3624634742736816}
[68121][PWM]: {'pwm.m1_pwm': 44983.0, 'pwm.m2_pwm': 48897.0, 'pwm.m4_pwm': 49294.0, 'pwm.m3_pwm': 54934.0, 'pm.vbat': 3.409970760345459}
[68171][PWM]: {'pwm.m1_pwm': 44986.0, 'pwm.m2_pwm': 48711.0, 'pwm.m4_pwm': 46449.0, 'pwm.m3_pwm': 52173.0, 'pm.vbat': 3.3888564109802246}
[68221][PWM]: {'pwm.m1_pwm': 38396.0, 'pwm.m2_pwm': 40960.0, 'pwm.m4_pwm': 44322.0, 'pwm.m3_pwm': 44591.0, 'pm.vbat': 3.409970760345459}
[68271][PWM]: {'pwm.m1_pwm': 42490.0, 'pwm.m2_pwm': 43016.0, 'pwm.m4_pwm': 34551.0, 'pwm.m3_pwm': 37202.0, 'pm.vbat': 3.436363697052002}
[68321][PWM]: {'pwm.m1_pwm': 39131.0, 'pwm.m2_pwm': 47690.0, 'pwm.m4_pwm': 44639.0, 'pwm.m3_pwm': 52942.0, 'pm.vbat': 3.383577823638916}
[68371][PWM]: {'pwm.m1_pwm': 43883.0, 'pwm.m2_pwm': 46195.0, 'pwm.m4_pwm': 45470.0, 'pwm.m3_pwm': 48576.0, 'pm.vbat': 3.383577823638916}
[68421][PWM]: {'pwm.m1_pwm': 52016.0, 'pwm.m2_pwm': 52589.0, 'pwm.m4_pwm': 49898.0, 'pwm.m3_pwm': 51996.0, 'pm.vbat': 3.3360705375671387}
[68471][PWM]: {'pwm.m1_pwm': 48769.0, 'pwm.m2_pwm': 53309.0, 'pwm.m4_pwm': 51772.0, 'pwm.m3_pwm': 56807.0, 'pm.vbat': 3.3149561882019043}
[68521][PWM]: {'pwm.m1_pwm': 49760.0, 'pwm.m2_pwm': 53499.0, 'pwm.m4_pwm': 50603.0, 'pwm.m3_pwm': 56037.0, 'pm.vbat': 3.2991204261779785}
[68571][PWM]: {'pwm.m1_pwm': 52070.0, 'pwm.m2_pwm': 51474.0, 'pwm.m4_pwm': 50906.0, 'pwm.m3_pwm': 52092.0, 'pm.vbat': 3.33079195022583}
[68621][PWM]: {'pwm.m1_pwm': 50020.0, 'pwm.m2_pwm': 53763.0, 'pwm.m4_pwm': 50591.0, 'pwm.m3_pwm': 55593.0, 'pm.vbat': 3.3149561882019043}
[68671][PWM]: {'pwm.m1_pwm': 50209.0, 'pwm.m2_pwm': 49711.0, 'pwm.m4_pwm': 49641.0, 'pwm.m3_pwm': 51703.0, 'pm.vbat': 3.3360705375671387}
[68721][PWM]: {'pwm.m1_pwm': 49589.0, 'pwm.m2_pwm': 49127.0, 'pwm.m4_pwm': 48624.0, 'pwm.m3_pwm': 50809.0, 'pm.vbat': 3.3519062995910645}
[68771][PWM]: {'pwm.m1_pwm': 46310.0, 'pwm.m2_pwm': 48281.0, 'pwm.m4_pwm': 45702.0, 'pwm.m3_pwm': 50187.0, 'pm.vbat': 3.3677420616149902}
[68821][PWM]: {'pwm.m1_pwm': 47987.0, 'pwm.m2_pwm': 46218.0, 'pwm.m4_pwm': 48924.0, 'pwm.m3_pwm': 48812.0, 'pm.vbat': 3.3677420616149902}
[68871][PWM]: {'pwm.m1_pwm': 46412.0, 'pwm.m2_pwm': 46497.0, 'pwm.m4_pwm': 46327.0, 'pwm.m3_pwm': 47353.0, 'pm.vbat': 3.3782992362976074}
[68921][PWM]: {'pwm.m1_pwm': 27799.0, 'pwm.m2_pwm': 31781.0, 'pwm.m4_pwm': 25951.0, 'pwm.m3_pwm': 33180.0, 'pm.vbat': 3.5208210945129395}
[68971][PWM]: {'pwm.m1_pwm': 47114.0, 'pwm.m2_pwm': 44932.0, 'pwm.m4_pwm': 46217.0, 'pwm.m3_pwm': 44808.0, 'pm.vbat': 3.3888564109802246}
[69021][PWM]: {'pwm.m1_pwm': 31309.0, 'pwm.m2_pwm': 30381.0, 'pwm.m4_pwm': 34265.0, 'pwm.m3_pwm': 34198.0, 'pm.vbat': 3.499706745147705}
[69071][PWM]: {'pwm.m1_pwm': 44783.0, 'pwm.m2_pwm': 49017.0, 'pwm.m4_pwm': 44151.0, 'pwm.m3_pwm': 47681.0, 'pm.vbat': 3.3782992362976074}
[69121][PWM]: {'pwm.m1_pwm': 40508.0, 'pwm.m2_pwm': 37800.0, 'pwm.m4_pwm': 36787.0, 'pwm.m3_pwm': 32862.0, 'pm.vbat': 3.462756633758545}
